6,711864 
7,143913 
6,287735 
5,396391 
4,802552 
4,775572 
4,723898 
4,930061 
4,976661 
5,103895 
4,805964 
4,843689 
4,709359 
4,849522 
4,786841 
4,823916 
4,770703 
5,047083 
4,782560 
4,760094 
4,759725 
4,990179 
4,873857 
4,712526 
4,974894 
4,866710 
4,844864 
4,816436 
4,751370 
4,729272 
4,819277 
4,782977 
4,934708 
4,820139 
4,824201 
4,826351 
4,696089 
4,659429 
4,839988 
4,736894 
5,004694 
4,719223 
4,814325 
4,821700 
4,799434 
4,865795 
5,027504 
4,743089 
4,837877 
4,841375 
4,794722 
4,760626 
4,986056 
4,821945 
4,754355 
5,010735 
4,954171 
4,830819 
4,745772 
4,793546 
4,663911 
4,610661 
4,723432 
4,643392 
4,937731 
4,860121 
4,623525 
4,728745 
6,085223 
8,648756 
9,482821 
9,818062 
6,464732 
6,606676 
6,131050
7,710524 
6,205477 
4,672475 
4,624207 
4,660274 
4,526308 
4,580196 
4,552963 
4,407619 
4,554244 
4,505694 
4,522498 
4,597814 
4,690106 
4,476969 
4,492449 
4,543268 
4,472727 
4,723412 
4,761516 
4,505864 
4,561524 
4,532352 
3,585903
3,926397
